Business,Address,Annual Consumption,Unit,City,Province,Country,Year
155 & 157 FALTON DR NE HOUSING,155 FALTON DR NE,155,GJ,Calgary,Alberta,Canada,2023
159 & 161 FALTON DR NE HOUSING,159 FALTON DR NE,186,GJ,Calgary,Alberta,Canada,2023
15 RANCHERO GR NW HOUSING,15 RANCHERO GR NW,253,GJ,Calgary,Alberta,Canada,2023
160 FALTON DR NE HOUSING,160 FALTON DR NE,98,GJ,Calgary,Alberta,Canada,2023
#1-6 15 NORQUAY CO NW HOUSING,#1-6 15 NORQUAY CO NW,488,GJ,Calgary,Alberta,Canada,2023
1620 12 AV SW HOUSING,1620 12 AV SW,1806,GJ,Calgary,Alberta,Canada,2023
1631 4A ST NW HOUSING,1631 4A ST NW,99,GJ,Calgary,Alberta,Canada,2023
1635 6A ST NW HOUSING,1635 6A ST NW,57,GJ,Calgary,Alberta,Canada,2023
1636 4A ST NW HOUSING,1636 4A ST NW,62,GJ,Calgary,Alberta,Canada,2023
1636 6A ST NW HOUSING,1636 6A ST NW,74,GJ,Calgary,Alberta,Canada,2023
1636 6 ST NW HOUSING,1636 6 ST NW,87,GJ,Calgary,Alberta,Canada,2023
1636 7A ST NW HOUSING,1636 7A ST NW,92,GJ,Calgary,Alberta,Canada,2023
1636 8 ST NW HOUSING,1636 8 ST NW,40,GJ,Calgary,Alberta,Canada,2023
1636 9 ST NW HOUSING,1636 9 ST NW,63,GJ,Calgary,Alberta,Canada,2023
167 & 169 FALTON DR NE HOUSING,167 FALTON DR NE,173,GJ,Calgary,Alberta,Canada,2023
171 & 173 FALTON DR NE HOUSING,171 FALTON DR NE,248,GJ,Calgary,Alberta,Canada,2023
1712 35 ST SE HOUSING,1712 35 ST SE,1093,GJ,Calgary,Alberta,Canada,2023
171 ERIN MOUNT CR SE HOUSING,171 ERIN MOUNT CR SE,96,GJ,Calgary,Alberta,Canada,2023
1733 28 AV SW HOUSING,1733 28 AV SW,1497,GJ,Calgary,Alberta,Canada,2023
173 ERIN RIDGE RD SE HOUSING,173 ERIN RIDGE RD SE,77,GJ,Calgary,Alberta,Canada,2023
175 & 177 FALTON DR NE HOUSING,175 FALTON DR NE,157,GJ,Calgary,Alberta,Canada,2023
#1-7 7000 RANCHERO RD NW HOUSING,20 CASTLEGLEN RD NE,465,GJ,Calgary,Alberta,Canada,2023
18 & 20 CASTLEGLEN RD NE HOUSING,182 TEMPLEGREEN DR NE,218,GJ,Calgary,Alberta,Canada,2023
182 & 184 TEMPLEGREEN DR NE HOUSING,1827 16A ST SW,165,GJ,Calgary,Alberta,Canada,2023
1827 16A ST SW HOUSING,183 CEDARDALE RD SW,1752,GJ,Calgary,Alberta,Canada,2023
183 & 185 CEDARDALE RD SW HOUSING,11 1840 RANCHLANDS WY NW,198,GJ,Calgary,Alberta,Canada,2023
1840 RANCHLANDS WY NW HOUSING,187 FALSHIRE DR NE,974,GJ,Calgary,Alberta,Canada,2023
187 FALSHIRE DR NE HOUSING,187 FALTON WY NE,117,GJ,Calgary,Alberta,Canada,2023
187 FALTON WY NE HOUSING,189 FALSHIRE DR NE,93,GJ,Calgary,Alberta,Canada,2023
189 FALSHIRE DR NE HOUSING,18 RADCLIFFE CR SE,127,GJ,Calgary,Alberta,Canada,2023
18 RADCLIFFE CR SE HOUSING,1918 8 AV SE,423,GJ,Calgary,Alberta,Canada,2023
1918 8 AV SE HOUSING,1920 29 ST SW,273,GJ,Calgary,Alberta,Canada,2023
1920 29 ST SW HOUSING,196 DOVERGLEN CR SE,948,GJ,Calgary,Alberta,Canada,2023
#19-25 7000 RANCHERO RD NW HOUSING,200 DOVERGLEN CR SE,557,GJ,Calgary,Alberta,Canada,2023
194 & 196 DOVERGLEN CR SE HOUSING,19 ERIN GROVE CL SE,172,GJ,Calgary,Alberta,Canada,2023
198 & 200 DOVERGLEN CR SE HOUSING,19 RADCLIFFE CL SE,126,GJ,Calgary,Alberta,Canada,2023
19 ERIN GROVE CL SE HOUSING,19 RANCHERO GR NW,132,GJ,Calgary,Alberta,Canada,2023
19 RADCLIFFE CL SE HOUSING,#200 6704 6 ST SW,343,GJ,Calgary,Alberta,Canada,2023
19 RANCHERO GR NW HOUSING,#200 816 MCDOUGALL RD NE,394,GJ,Calgary,Alberta,Canada,2023
#200 6704 6 ST SW,2011 36 ST SE,426,GJ,Calgary,Alberta,Canada,2023
#200 816 MCDOUGALL RD NE HOUSING,204 DOVERGLEN CR SE,300,GJ,Calgary,Alberta,Canada,2023
2011 36 ST SE HOUSING,208 RADLEY PL SE,273,GJ,Calgary,Alberta,Canada,2023
202 & 204 DOVERGLEN CR SE HOUSING,#20-25 2730 19 AV SE,156,GJ,Calgary,Alberta,Canada,2023
202-208 RADLEY PL SE HOUSING,208 DOVERGLEN CR SE,322,GJ,Calgary,Alberta,Canada,2023
#20-25 2730 19 AV SE HOUSING,207 CEDARDALE RD SW,289,GJ,Calgary,Alberta,Canada,2023
206 & 208 DOVERGLEN CR SE HOUSING,207 ERIN MOUNT CR SE,130,GJ,Calgary,Alberta,Canada,2023
207 & 209 CEDARDALE RD SW HOUSING,207 FALDALE CL NE,214,GJ,Calgary,Alberta,Canada,2023
207 ERIN MOUNT CR SE HOUSING,208 ERIN CROFT CR SE,122,GJ,Calgary,Alberta,Canada,2023
207 FALDALE CL NE HOUSING,20 ERIN CROFT GR SE,78,GJ,Calgary,Alberta,Canada,2023
208 ERIN CROFT CR SE HOUSING,20 FALTON ME NE,70,GJ,Calgary,Alberta,Canada,2023
20 ERIN CROFT GR SE HOUSING,20 LINCOLN WY SW,102,GJ,Calgary,Alberta,Canada,2023
20 FALTON ME NE HOUSING,20 PENWORTH CL SE,103,GJ,Calgary,Alberta,Canada,2023
20 LINCOLN WY SW HOUSING,210 15 AV NE,1868,GJ,Calgary,Alberta,Canada,2023
20 PENWORTH CL SE HOUSING,212 DOVERGLEN CR SE,129,GJ,Calgary,Alberta,Canada,2023
210 15 AV NE HOUSING,21 FALBURY CR NE,526,GJ,Calgary,Alberta,Canada,2023
210 & 212 DOVERGLEN CR SE HOUSING,2222 VERMILLION ST NE,157,GJ,Calgary,Alberta,Canada,2023
21 & 23 FALBURY CR NE HOUSING,24 CASTLEGLEN RD NE,155,GJ,Calgary,Alberta,Canada,2023
2222 VERMILLION ST NE HOUSING,22 CASTLEPARK WY NE,2260,GJ,Calgary,Alberta,Canada,2023
22 & 24 CASTLEGLEN RD NE HOUSING,2226 30 ST SW,151,GJ,Calgary,Alberta,Canada,2023
22 & 24 CASTLEPARK WY NE HOUSING,2234 30 ST SW,170,GJ,Calgary,Alberta,Canada,2023
2226-2230 30 ST SW HOUSING,2240 30 ST SW,163,GJ,Calgary,Alberta,Canada,2023
2234-2238 30 ST SW HOUSING,225 14 AV SW,251,GJ,Calgary,Alberta,Canada,2023
2240 & 2242 30 ST SW HOUSING,230 5 AV SE,140,GJ,Calgary,Alberta,Canada,2023
225 14 AV SW HOUSING,27 DEERPOINT RD SE,608,GJ,Calgary,Alberta,Canada,2023
230 5 AV SE HOUSING & 433 MACLEOD TR SE HOUSING,236 RADLEY PL SE,15950,GJ,Calgary,Alberta,Canada,2023
23 & 27 DEERPOINT RD SE HOUSING,23 FALCHURCH PL NE,150,GJ,Calgary,Alberta,Canada,2023
236 RADLEY PL SE HOUSING,2431 39 ST SE,445,GJ,Calgary,Alberta,Canada,2023
23 FALCHURCH PL NE HOUSING,2443 48 ST SE,116,GJ,Calgary,Alberta,Canada,2023
2431 39 ST SE HOUSING,2444 47 ST SE,168,GJ,Calgary,Alberta,Canada,2023
2441-2445 48 ST SE HOUSING,247 PENSVILLE CL SE,282,GJ,Calgary,Alberta,Canada,2023
2442 & 2444 47 ST SE HOUSING,249 ABALONE PL NE,163,GJ,Calgary,Alberta,Canada,2023
247 PENSVILLE CL SE HOUSING,2513 14 AV SE,63,GJ,Calgary,Alberta,Canada,2023
249 & 251 ABALONE PL NE HOUSING,2712 41 ST SE,154,GJ,Calgary,Alberta,Canada,2023
2513 14 AV SE HOUSING,2804 13 AV SE,229,GJ,Calgary,Alberta,Canada,2023
2712 41 ST SE HOUSING,4303 DOVERWOOD PL SE,118,GJ,Calgary,Alberta,Canada,2023
2804 13 AV SE HOUSING,281 PENSVILLE CL SE,440,GJ,Calgary,Alberta,Canada,2023
2804 41 ST SE HOUSING,28 ABINGDON CO NE,143,GJ,Calgary,Alberta,Canada,2023
281 PENSVILLE CL SE HOUSING,28 FALTON RI NE,92,GJ,Calgary,Alberta,Canada,2023
28 ABINGDON CO NE HOUSING,28 FONDA DR SE,102,GJ,Calgary,Alberta,Canada,2023
28 FALTON RI NE HOUSING,28 RADCLIFFE CO SE,94,GJ,Calgary,Alberta,Canada,2023
28 FONDA DR SE HOUSING,29 TEMPLETON BA NE,484,GJ,Calgary,Alberta,Canada,2023
28 RADCLIFFE CO SE HOUSING,29 ERIN RIDGE RD SE,276,GJ,Calgary,Alberta,Canada,2023
29 & 31 TEMPLETON BA NE HOUSING,3004 29A ST SE,210,GJ,Calgary,Alberta,Canada,2023
29 ERIN RIDGE RD SE HOUSING,3005 30A ST SE,112,GJ,Calgary,Alberta,Canada,2023
3004 29A ST SE HOUSING,3007 28A ST SE,143,GJ,Calgary,Alberta,Canada,2023
3005 30A ST SE HOUSING,3008 29A ST SE,85,GJ,Calgary,Alberta,Canada,2023
3007 28A ST SE HOUSING,3011 32A ST SE,101,GJ,Calgary,Alberta,Canada,2023
3008 29A ST SE HOUSING,3009 30A ST SE,101,GJ,Calgary,Alberta,Canada,2023
3009 & 3011 32A ST SE HOUSING,3012 33A ST SE,219,GJ,Calgary,Alberta,Canada,2023
3009 30A ST SE HOUSING,3011 28A ST SE,110,GJ,Calgary,Alberta,Canada,2023
3010 & 3012 33A ST SE HOUSING,3011 30A ST SE,185,GJ,Calgary,Alberta,Canada,2023
3011 28A ST SE HOUSING,3012 29A ST SE,71,GJ,Calgary,Alberta,Canada,2023
3011 30A ST SE HOUSING,303 FALCONRIDGE CR NE,232,GJ,Calgary,Alberta,Canada,2023
3012 29A ST SE HOUSING,3013 28A ST SE,213,GJ,Calgary,Alberta,Canada,2023
301-313 FALCONRIDGE CR NE HOUSING,3015 32A ST SE,545,GJ,Calgary,Alberta,Canada,2023
3013 28A ST SE HOUSING,3014 29A ST SE,210,GJ,Calgary,Alberta,Canada,2023
3013 & 3015 32A ST SE HOUSING,3016 33A ST SE,202,GJ,Calgary,Alberta,Canada,2023
3014 29A ST SE HOUSING,3016 23 AV SW,144,GJ,Calgary,Alberta,Canada,2023
3014 & 3016 33A ST SE HOUSING,3019 32A ST SE,185,GJ,Calgary,Alberta,Canada,2023
3016-3028 23 AV SW HOUSING,3017 30A ST SE,290,GJ,Calgary,Alberta,Canada,2023
3017 & 3019 32A ST SE HOUSING,3020 33A ST SE,248,GJ,Calgary,Alberta,Canada,2023
3017 30A ST SE HOUSING,3019 28A ST SE,149,GJ,Calgary,Alberta,Canada,2023
3018 & 3020 33A ST SE HOUSING,3020 29A ST SE,215,GJ,Calgary,Alberta,Canada,2023
3019 28A ST SE HOUSING,3021 30A ST SE,119,GJ,Calgary,Alberta,Canada,2023
3020 29A ST SE HOUSING,30 TEMPLEBY WY NE,164,GJ,Calgary,Alberta,Canada,2023
3021 30A ST SE HOUSING,#30-35 2730 19 AV SE,203,GJ,Calgary,Alberta,Canada,2023
30 & 32 TEMPLEBY WY NE HOUSING,303 57 AV SW,156,GJ,Calgary,Alberta,Canada,2023
#30-35 2730 19 AV SE HOUSING,308 15 AV NE,282,GJ,Calgary,Alberta,Canada,2023
303 57 AV SW HOUSING,315 WHITLOCK WY NE,7083,GJ,Calgary,Alberta,Canada,2023
308 15 AV NE HOUSING,31 DEERPOINT RD SE,754,GJ,Calgary,Alberta,Canada,2023
313 & 315 WHITLOCK WY NE HOUSING,315 FALCONRIDGE CR NE,161,GJ,Calgary,Alberta,Canada,2023
31 & 35 DEERPOINT RD SE HOUSING,316 20 AV SW,164,GJ,Calgary,Alberta,Canada,2023
315-325 FALCONRIDGE CR NE HOUSING,321 WHITLOCK WY NE,380,GJ,Calgary,Alberta,Canada,2023
316 20 AV SW HOUSING,31 FAY RD SE,1391,GJ,Calgary,Alberta,Canada,2023
319 & 321 WHITLOCK WY NE HOUSING,3202 30A AV SE,183,GJ,Calgary,Alberta,Canada,2023
31 FAY RD SE HOUSING,3202 32A AV SE,135,GJ,Calgary,Alberta,Canada,2023
3202 30A AV SE HOUSING,3203 33A AV SE,62,GJ,Calgary,Alberta,Canada,2023
3202 32A AV SE HOUSING,3206 32A AV SE,99,GJ,Calgary,Alberta,Canada,2023
3203 33A AV SE HOUSING,3207 31A AV SE,78,GJ,Calgary,Alberta,Canada,2023
3206 32A AV SE HOUSING,3207 33A AV SE,130,GJ,Calgary,Alberta,Canada,2023
3207 31A AV SE HOUSING,3208 32A AV SE,98,GJ,Calgary,Alberta,Canada,2023
3207 33A AV SE HOUSING,3209 31A AV SE,71,GJ,Calgary,Alberta,Canada,2023
3208 32A AV SE HOUSING,3211 33A AV SE,205,GJ,Calgary,Alberta,Canada,2023
3209 & 3211 31A AV SE HOUSING,3212 32A AV SE,138,GJ,Calgary,Alberta,Canada,2023
3211 33A AV SE HOUSING,3213 33A AV SE,215,GJ,Calgary,Alberta,Canada,2023
3212 32A AV SE HOUSING,3213A 31A AV SE,207,GJ,Calgary,Alberta,Canada,2023
3213 33A AV SE HOUSING,3215 31A AV SE,159,GJ,Calgary,Alberta,Canada,2023
3213A & 3213B 31A AV SE HOUSING,3216 30A AV SE,152,GJ,Calgary,Alberta,Canada,2023
3215 & 3217 31A AV SE HOUSING,3216 32A AV SE,130,GJ,Calgary,Alberta,Canada,2023
3216 30A AV SE HOUSING,3217 33A AV SE,228,GJ,Calgary,Alberta,Canada,2023
3216 32A AV SE HOUSING,3219 31A AV SE,212,GJ,Calgary,Alberta,Canada,2023
3217 33A AV SE HOUSING,3222 30A AV SE,177,GJ,Calgary,Alberta,Canada,2023
3219 31A AV SE HOUSING,3229 56 ST NE,218,GJ,Calgary,Alberta,Canada,2023
3222 30A AV SE HOUSING,325 10 ST NW,119,GJ,Calgary,Alberta,Canada,2023
3229 56 ST NE HOUSING,327 FALCONRIDGE CR NE,1338,GJ,Calgary,Alberta,Canada,2023
325 10 ST NW HOUSING,327 FALSHIRE DR NE,4284,GJ,Calgary,Alberta,Canada,2023
327-339 FALCONRIDGE CR NE HOUSING,32 RADCLIFFE CO SE,572,GJ,Calgary,Alberta,Canada,2023
327 FALSHIRE DR NE HOUSING,330 2 AV NE,166,GJ,Calgary,Alberta,Canada,2023
32 RADCLIFFE CO SE HOUSING,333 17 AV NW,182,GJ,Calgary,Alberta,Canada,2023
330 2 AV NE HOUSING,339 FALSHIRE WY NE,1855,GJ,Calgary,Alberta,Canada,2023
333 17 AV NW HOUSING,3401 CENTRE ST NW,1718,GJ,Calgary,Alberta,Canada,2023
339 FALSHIRE WY NE HOUSING,343 WHITLOCK WY NE,78,GJ,Calgary,Alberta,Canada,2023
3401 CENTRE ST NW HOUSING,36 FALMEAD BA NE,665,GJ,Calgary,Alberta,Canada,2023
341 & 343 WHITLOCK WY NE HOUSING,3454 30A AV SE,183,GJ,Calgary,Alberta,Canada,2023
34 & 36 FALMEAD BA NE HOUSING,3456 30A AV SE,202,GJ,Calgary,Alberta,Canada,2023
3454 30A AV SE HOUSING,3456 32A AV SE,136,GJ,Calgary,Alberta,Canada,2023
3456 30A AV SE HOUSING,3461 31A AV SE,183,GJ,Calgary,Alberta,Canada,2023
3456 32A AV SE HOUSING,3461 33A AV SE,158,GJ,Calgary,Alberta,Canada,2023
3461 31A AV SE HOUSING,3462 30A AV SE,227,GJ,Calgary,Alberta,Canada,2023
3461 33A AV SE HOUSING,3462 32A AV SE,167,GJ,Calgary,Alberta,Canada,2023
3462 30A AV SE HOUSING,3463 33A AV SE,187,GJ,Calgary,Alberta,Canada,2023
3462 32A AV SE HOUSING,3466 30 AV SE,159,GJ,Calgary,Alberta,Canada,2023
3463 33A AV SE HOUSING,3464 32A AV SE,214,GJ,Calgary,Alberta,Canada,2023
3466 30A AV SE HOUSING,3467 31A AV SE,218,GJ,Calgary,Alberta,Canada,2023
3466 32A AV SE HOUSING,3469 33A AV SE,178,GJ,Calgary,Alberta,Canada,2023
3467 31A AV SE HOUSING,3470 30A AV SE,177,GJ,Calgary,Alberta,Canada,2023
3469 33A AV SE HOUSING,3473 33A AV SE,161,GJ,Calgary,Alberta,Canada,2023
3470 30A AV SE HOUSING,3474 30A AV SE,100,GJ,Calgary,Alberta,Canada,2023
3473 33A AV SE HOUSING,3477 33A AV SE,95,GJ,Calgary,Alberta,Canada,2023
3474 30A AV SE HOUSING,34 ERIN RIDGE PL SE,91,GJ,Calgary,Alberta,Canada,2023
3477 33A AV SE HOUSING,3534 CEDARILLE DR SW,109,GJ,Calgary,Alberta,Canada,2023
34 ERIN RIDGE PL SE HOUSING,3542 CEDARILLE DR SW,73,GJ,Calgary,Alberta,Canada,2023
3534 & 3536 CEDARILLE DR SW HOUSING,3546 CEDARILLE DR SW,287,GJ,Calgary,Alberta,Canada,2023
3542 & 3544 CEDARILLE DR SW HOUSING,359 WHITLOCK WY NE,186,GJ,Calgary,Alberta,Canada,2023
3546 & 3548 CEDARILLE DR SW HOUSING,3601 28 AV SE,253,GJ,Calgary,Alberta,Canada,2023
357 & 359 WHITLOCK WY NE HOUSING,3605 28 AV SE,137,GJ,Calgary,Alberta,Canada,2023
3601 & 3603 28 AV SE HOUSING,3609 28 AV SE,147,GJ,Calgary,Alberta,Canada,2023
3605 & 3607 28 AV SE HOUSING,3610 CEDARILLE DR SW,160,GJ,Calgary,Alberta,Canada,2023
3609 & 3611 28 AV SE HOUSING,3613 28 AV SE,132,GJ,Calgary,Alberta,Canada,2023
3610 & 3612 CEDARILLE DR SW HOUSING,3617 28 AV SE,150,GJ,Calgary,Alberta,Canada,2023
3613 & 3615 28 AV SE HOUSING,3621 28 AV SE,163,GJ,Calgary,Alberta,Canada,2023
3617 & 3619 28 AV SE HOUSING,3625 28 AV SE,138,GJ,Calgary,Alberta,Canada,2023
3621 & 3623 28 AV SE HOUSING,3629 28 AV SE,116,GJ,Calgary,Alberta,Canada,2023
3625 & 3627 28 AV SE HOUSING,3633 28 AV SE,193,GJ,Calgary,Alberta,Canada,2023
3629 & 3631 28 AV SE HOUSING,36 ABINGDON CO NE,169,GJ,Calgary,Alberta,Canada,2023
3633 & 3635 28 AV SE HOUSING,36 RADCLIFFE CO SE,163,GJ,Calgary,Alberta,Canada,2023
36 ABINGDON CO NE HOUSING,37 ERIN RIDGE RD SE,82,GJ,Calgary,Alberta,Canada,2023
36 RADCLIFFE CO SE HOUSING,3824 PARKHILL PL SW,446,GJ,Calgary,Alberta,Canada,2023
37 ERIN RIDGE RD SE HOUSING,40 FALMEAD BA NE,84,GJ,Calgary,Alberta,Canada,2023
3824 PARKHILL PL SW HOUSING,3902 44 AV NE,519,GJ,Calgary,Alberta,Canada,2023
38 & 40 FALMEAD BA NE HOUSING,43 DEERPOINT RD SE,132,GJ,Calgary,Alberta,Canada,2023
3902 & 3904 44 AV NE HOUSING,39 FALSHIRE WY NE,219,GJ,Calgary,Alberta,Canada,2023
39 & 43 DEERPOINT RD SE HOUSING,4006 WORCESTER DR SW,129,GJ,Calgary,Alberta,Canada,2023
39 FALSHIRE WY NE HOUSING,4012 WORCESTER DR SW,91,GJ,Calgary,Alberta,Canada,2023
4006 WORCESTER DR SW HOUSING,4018 WORCESTER DR SW,302,GJ,Calgary,Alberta,Canada,2023
4012 WORCESTER DR SW HOUSING,40 38A AV SW,349,GJ,Calgary,Alberta,Canada,2023
4018 WORCESTER DR SW HOUSING,#40-45 2730 19 AV SE,379,GJ,Calgary,Alberta,Canada,2023
40 38A AV SW HOUSING,411 14 ST NW,2201,GJ,Calgary,Alberta,Canada,2023
#40-45 2730 19 AV SE HOUSING,41 FALBURY CR NE,281,GJ,Calgary,Alberta,Canada,2023
411 14 ST NW HOUSING,419 ABADAN PL NE,6371,GJ,Calgary,Alberta,Canada,2023
41 & 43 FALBURY CR NE HOUSING,424 2 AV NE,165,GJ,Calgary,Alberta,Canada,2023
419 ABADAN PL NE HOUSING,4303 WHITEHORN DR NE,99,GJ,Calgary,Alberta,Canada,2023
424 2 AV NE HOUSING,4307 DOVERWOOD PL SE,1123,GJ,Calgary,Alberta,Canada,2023
4303 & 4307 WHITEHORN DR NE HOUSING,4308 DOVERWOOD PL SE,140,GJ,Calgary,Alberta,Canada,2023
4307 DOVERWOOD PL SE HOUSING,4312 DOVERWOOD PL SE,175,GJ,Calgary,Alberta,Canada,2023
4308 DOVERWOOD PL SE HOUSING,4311 WHITEHORN DR NE,151,GJ,Calgary,Alberta,Canada,2023
4310 DOVERWOOD PL SE HOUSING,4311 DOVERWOOD PL SE,65,GJ,Calgary,Alberta,Canada,2023
4311 & 4315 WHITEHORN DR NE HOUSING,4313 DOVERWOOD PL SE,122,GJ,Calgary,Alberta,Canada,2023
4311 DOVERWOOD PL SE HOUSING,4314 DOVERWOOD PL SE,124,GJ,Calgary,Alberta,Canada,2023
4313 DOVERWOOD PL SE HOUSING,4317 DOVERWOOD PL ASE,157,GJ,Calgary,Alberta,Canada,2023
4314 DOVERWOOD PL SE HOUSING,4318 DOVERWOOD PL SE,114,GJ,Calgary,Alberta,Canada,2023
4317 DOVERWOOD PL SE HOUSING,4323 WHITEHORN DR NE,76,GJ,Calgary,Alberta,Canada,2023
4318 DOVERWOOD PL SE HOUSING,4321 DOVERWOOD PL SE,109,GJ,Calgary,Alberta,Canada,2023
4319 & 4323 WHITEHORN DR NE HOUSING,4322 DOVERWOOD PL SE,155,GJ,Calgary,Alberta,Canada,2023
4321 DOVERWOOD PL SE HOUSING,4327 BOWNESS RD NW,109,GJ,Calgary,Alberta,Canada,2023
4322 DOVERWOOD PL SE HOUSING,4325 DOVERWOOD PL SE,153,GJ,Calgary,Alberta,Canada,2023
4325 & 4327 BOWNESS RD NW HOUSING,4326 DOVERWOOD PL SE,160,GJ,Calgary,Alberta,Canada,2023
4325 DOVERWOOD PL SE HOUSING,4331 WHITEHORN DR NE,120,GJ,Calgary,Alberta,Canada,2023
4326 DOVERWOOD PL SE HOUSING,4332 DOVERWOOD PL SE,183,GJ,Calgary,Alberta,Canada,2023
4327 & 4331 WHITEHORN DR NE HOUSING,4339 WHITEHORN DR NE,141,GJ,Calgary,Alberta,Canada,2023
4332 DOVERWOOD PL SE HOUSING,4336 DOVERWOOD PL SE,142,GJ,Calgary,Alberta,Canada,2023
4335 & 4339 WHITEHORN DR NE HOUSING,4347 WHITEHORN DR NE,147,GJ,Calgary,Alberta,Canada,2023
4336 DOVERWOOD PL SE HOUSING,4355 WHITEHORN DR NE,169,GJ,Calgary,Alberta,Canada,2023
4343 & 4347 WHITEHORN DR NE HOUSING,4363 WHITEHORN DR NE,116,GJ,Calgary,Alberta,Canada,2023
4351 & 4355 WHITEHORN DR NE HOUSING,444 ABADAN PL NE,113,GJ,Calgary,Alberta,Canada,2023
4359 & 4363 WHITEHORN DR NE HOUSING,4502 RICHMOND RD SW,163,GJ,Calgary,Alberta,Canada,2023
444 ABADAN PL NE HOUSING,4601 MEMORIAL DR SE,129,GJ,Calgary,Alberta,Canada,2023
4500 & 4502 RICHMOND RD SW HOUSING,4605 MEMORIAL DR SE,156,GJ,Calgary,Alberta,Canada,2023
4601 MEMORIAL DR SE HOUSING,4611 MEMORIAL DR SE,148,GJ,Calgary,Alberta,Canada,2023
4605 MEMORIAL DR SE HOUSING,461 23 AV NE,142,GJ,Calgary,Alberta,Canada,2023
4611 MEMORIAL DR SE HOUSING,4615 MEMORIAL DR SE,130,GJ,Calgary,Alberta,Canada,2023
461 23 AV NE HOUSING,4617 MEMORIAL DR SE,282,GJ,Calgary,Alberta,Canada,2023
4615 MEMORIAL DR SE HOUSING,4623 MEMORIAL DR SE,151,GJ,Calgary,Alberta,Canada,2023
4617 MEMORIAL DR SE HOUSING,4625 MEMORIAL DR SE,100,GJ,Calgary,Alberta,Canada,2023
4623 MEMORIAL DR SE HOUSING,4631 MEMORIAL DR SE,174,GJ,Calgary,Alberta,Canada,2023
4625 MEMORIAL DR SE HOUSING,4633 MEMORIAL DR SE,150,GJ,Calgary,Alberta,Canada,2023
4631 MEMORIAL DR SE HOUSING,4637 MEMORIAL DR SE,153,GJ,Calgary,Alberta,Canada,2023
4633 MEMORIAL DR SE HOUSING,4641 MEMORIAL DR SE,137,GJ,Calgary,Alberta,Canada,2023
4637 MEMORIAL DR SE HOUSING,4645 MEMORIAL DR SE,114,GJ,Calgary,Alberta,Canada,2023
4641 MEMORIAL DR SE HOUSING,48 DEER RIDGE WY SE,186,GJ,Calgary,Alberta,Canada,2023
4645 MEMORIAL DR SE HOUSING,4651 MEMORIAL DR SE,139,GJ,Calgary,Alberta,Canada,2023
46 & 48 DEER RIDGE WY SE HOUSING,465 23 AV NE,197,GJ,Calgary,Alberta,Canada,2023
4651 MEMORIAL DR SE HOUSING,47 RADCLIFFE CL SE,74,GJ,Calgary,Alberta,Canada,2023
465 23 AV NE HOUSING,4829 60 ST NE,257,GJ,Calgary,Alberta,Canada,2023
47 RADCLIFFE CL SE HOUSING,4847 DALTON DR NW,531,GJ,Calgary,Alberta,Canada,2023
4829 & 4831 60 ST NE HOUSING,4848 DALTON DR NW,197,GJ,Calgary,Alberta,Canada,2023
4847 DALTON DR NW HOUSING,48 ABERGALE CL NE,2521,GJ,Calgary,Alberta,Canada,2023
4848 DALTON DR NW HOUSING,48 ABINGDON CR NE,2158,GJ,Calgary,Alberta,Canada,2023
48 ABERGALE CL NE HOUSING,48 CEDARWOOD RI SW,866,GJ,Calgary,Alberta,Canada,2023
48 ABINGDON CR NE HOUSING,49 CASTLERIDGE DR NE,84,GJ,Calgary,Alberta,Canada,2023
48 CEDARWOOD RI SW HOUSING,51 FONDA DR SE,173,GJ,Calgary,Alberta,Canada,2023
49 & 51 CASTLERIDGE DR NE HOUSING,4 RADCLIFFE CO SE,159,GJ,Calgary,Alberta,Canada,2023
49 & 51 FONDA DR SE HOUSING,503 ABADAN PL NE,174,GJ,Calgary,Alberta,Canada,2023
4 RADCLIFFE CO SE HOUSING,507 ABADAN PL NE,251,GJ,Calgary,Alberta,Canada,2023
501 & 503 ABADAN PL NE HOUSING,#50-55 2730 19 AV SE,187,GJ,Calgary,Alberta,Canada,2023
505 & 507 ABADAN PL NE HOUSING,508 72 AV NW,184,GJ,Calgary,Alberta,Canada,2023
#50-55 2730 19 AV SE HOUSING,511 ABADAN PL NE,257,GJ,Calgary,Alberta,Canada,2023
508 72 AV NW HOUSING,511 ABALONE PL NE,1497,GJ,Calgary,Alberta,Canada,2023
509 & 511 ABADAN PL NE HOUSING,515 ABADAN PL NE,169,GJ,Calgary,Alberta,Canada,2023
511 ABALONE PL NE HOUSING,519 ABADAN PL NE,65,GJ,Calgary,Alberta,Canada,2023
513 & 515 ABADAN PL NE HOUSING,519 ABALONE PL NE,159,GJ,Calgary,Alberta,Canada,2023
517 & 519 ABADAN PL NE HOUSING,520 RADLEY WY SE,175,GJ,Calgary,Alberta,Canada,2023
519 ABALONE PL NE HOUSING,523 ABADAN PL NE,70,GJ,Calgary,Alberta,Canada,2023
520 RADLEY WY SE HOUSING,5226 19 AV NW,194,GJ,Calgary,Alberta,Canada,2023
521 & 523 ABADAN PL NE HOUSING,5232 19 AV NW,241,GJ,Calgary,Alberta,Canada,2023
5226 19 AV NW HOUSING,5234 19 AV NW,183,GJ,Calgary,Alberta,Canada,2023
5230 19 AV NW HOUSING,5241 19 AV NW,145,GJ,Calgary,Alberta,Canada,2023
